First Name,Last Name,Total decisions ,%Granted ,%Granted Other Relief,% Denied,Court Location ,Previous Workplace ,Date Appointed ,Appointed by ,%Asylum Seekers that had representation
David,Kim,349,96,0.9,3.2,Federal Plaza,Represented Immigrants,2022,Biden,99
Anna C.,Little,511,93.2,1.2,5.7,Federal Plaza,Unrelated,2019,Trump,98
Andrea,Koppenhofer,170,93.5,0.6,5.9,Broadway,Unrelated,2020,Trump,99
Lori,Adams,457,90.6,0.7,8.8,Federal Plaza,Represented Immigrants,2021,Biden,96
Vivienne E.,Gordon-Uruakpa,924,87.2,3.2,9.5,Federal Plaza,Represented Immigrants,2002,Bush,97
Amiena,Khan,620,87.7,1.9,10.3,Federal Plaza,Represented Immigrants,2010,Obama,99
Theodora N.,Kouris,722,87.3,1.1,11.6,Federal Plaza,Represented Immigrants,2019,Trump,97
Noel A.,Brennan,899,87.2,1,11.8,Broadway,Unrelated,2003,Bush,98
Olivia L.,Cassin,845,83.9,4.1,12,Broadway,Represented Immigrants,2015,Obama,97
Carol A.,Crawford,383,83.6,2.3,14.1,Federal Plaza ,Unrelated,2021,Biden,97
Deborah E.,Klahr,663,84.9,0.9,14.2,Federal Plaza ,ICE,2019,Trump,98
Frederic G.,Leeds,794,85.1,0.5,14.4,Federal Plaza ,Unrelated,2006,Bush,98
Randa,Zagzoug,1136,84.2,1.1,14.6,Federal Plaza ,ICE,2010,Obama,97
Maria,Lurye,1021,84,1.1,14.9,Federal Plaza ,ICE,2017,Obama,97
Dania,Nassar,301,83.1,1.7,15.3,Federal Plaza ,Unrelated,2022,Biden,93
Gioia,Maiellano,185,82.2,0.5,17.3,Federal Plaza ,Represented Immigrants,2022,Biden,86
Alice,Segal,1031,78.9,1.8,19.3,Federal Plaza,ICE,2010,Obama,98
Evalyn P.,Douchy,1137,78.3,2,19.7,Federal Plaza,ICE,2016,Obama,98
Cathy,Sagesse,722,79.6,0.7,19.7,Federal Plaza,ICE,2019,Trump,98
Donald W.,Thompson,1328,78.8,1.1,20.1,Federal Plaza,ICE,2017,Trump,98
Jem C.,Sponzo,1031,76.6,1.8,21.5,Federal Plaza,Unrelated,2017,Trump,96
William,McDermott,539,77.7,0.6,21.7,Federal Plaza,Unrelated,2021,Biden,99
Dianna Michelle,Martínez Soler,112,76.8,0.9,22.3,Federal Plaza,Represented Immigrants,2023,Biden,96
Maria E.,Navarro,1045,76.1,1.4,22.5,Broadway ,Represented Immigrants,2017,Trump,98
Thomas,Bartleson,441,76.2,1.1,22.7,Broadway ,Unrelated,2020,Trump,97
Amanda,Jeannopoulos,172,76.2,0.6,23.3,Federal Plaza,ICE,2020,Trump,88
Jonathan,Reingold,264,68.6,5.7,25.8,Federal Plaza,Represented Immigrants,2022,Biden,97
Tiesha,Peal,192,72.4,1.6,26,Federal Plaza,Unrelated,2022,Biden,99
Kyle,Dandelet,580,71.6,0.7,27.8,Federal Plaza ,Represented Immigrants,2022,Biden,83
Dorothy A.,Harbeck,739,70.8,1.4,27.9,Federal Plaza ,Unrelated,2006,Bush,97
Tanawa,Lebreton,327,68.2,2.4,29.4,Broadway ,Represented Immigrants,2020,Trump,99
Virna A.,Wright,1016,67.8,1.7,30.5,Federal Plaza,ICE,2010,Obama,98
Andrew,Calvelli,643,67.7,0.6,31.7,Broadway ,Unrelated,2020,Trump,
Michael G.,McFarland,1095,66.5,1.2,32.3,Federal Plaza,ICE,2018,Trump,96
Lisa,Ehrens,631,65,1.9,33.1,Federal Plaza,Represented Immigrants,2019,Trump,96
Cynthia,Gordon,1125,66.3,0.5,33.2,Federal Plaza,ICE,2018,Trump,96
Lena,Golovnin,980,63.5,1.5,35,Federal Plaza,ICE,2018,Trump,
F. James,Loprest,856,61.1,1.6,37.3,Federal Plaza,ICE,2010,Obama ,95
Sam,Factor,927,59.2,1.6,39.2,Federal Plaza,Unrelated,2018,Trump,97
Carol,Moore,311,58.2,1.3,40.5,Broadway ,ICE,2022,Biden,93
Carolyn,Krasinski,375,57.9,1.1,41.1,Broadway ,Unrelated,2020,Trump,94
Edward,Grogan,279,55.9,0.7,43.4,Broadway,Unrelated,2020,Trump,100
Kalenna,Lee,230,55.2,0.4,44.3,Broadway ,ICE,2023,Biden,92
Aviva L.,Poczter,1156,50,1.1,48.9,Broadway ,ICE,2010,Obama ,96
Robert,Gundlach,774,48.6,0.8,50.6,Broadway ,ICE,2020,Trump,73
Jennifer,Chung,999,49.3,0,50.7,Broadway ,Represented Immigrants,2020,Trump,73
Barbara A.,Nelson,913,48,1.1,50.9,Federal Plaza ,Unrelated,1995,Clinton,97
Carrie C.,Johnson-Papillo,426,44.1,4.7,51.2,Federal Plaza ,ICE,2019,Trump,94
James M.,McCarthy,1168,46,1.6,52.4,Broadway,ICE,2017,Trump,96
John,Siemietkowski,526,40.9,0.2,58.9,Federal Plaza,Unrelated,2020,Trump,93
Shirley,Lazare-Raphael,1091,30.9,0.6,68.5,Broadway,ICE,2020,Trump,79
Jesse B.,Christensen,1707,26.9,0.7,72.4,Broadway,Immigration unit,2010,Obama,70
Adam,Perl,859,24.9,0.2,74.9,Broadway,ICE,2021,Biden,76
James,McKee,553,22.1,1.4,76.5,Broadway,Unrelated,2020,Trump,78
John,Burns,544,5.3,2,92.6,Broadway,ICE,2020,Trump,83